"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.4,11~20,"20,850",5,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.53,1~10,"20,500",5,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.53,1~10,"21,500",8,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.53,1~10,"21,600",21,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.53,1~10,"20,500",5,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.53,1~10,"21,250",9,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.53,11~20,"21,500",9,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.53,21~31,"21,500",11,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,84.53,21~31,"20,700",5,2014,학예로
 충청북도 음성군 맹동면 동성리,445,충북혁신도시 LH쌍용예가,59.93,1~10,"17,200",3,2014,사예로
 충청북도 음성군 맹동면 동성리,445,충북혁신도시 LH쌍용예가,59.93,1~10,"16,450",3,2014,사예로
 충청북도 음성군 맹동면 동성리,445,충북혁신도시 LH쌍용예가,59.93,21~31,"16,500",4,2014,사예로
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,36.46,1~10,"3,700",5,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,36.46,1~10,"3,700",5,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,36.46,1~10,"3,900",3,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,36.46,1~10,"3,750",4,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,36.46,11~20,"4,200",3,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,36.46,11~20,"3,950",4,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,36.46,21~31,"3,900",5,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,53.46,1~10,"4,600",4,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,53.46,11~20,"5,000",4,2009,덕금로211번길
 충청북도 음성군 맹동면 용촌리,56-1,음성미영황새마을,55.82,1~10,"5,150",1,2009,덕금로211번길
 충청북도 음성군 삼성면 덕정리,594-4,별무늬,58.01,11~20,"5,500",5,1991,덕정로
 충청북도 음성군 삼성면 덕정리,548-27,삼성명지,84.94,1~10,"11,500",5,2008,덕정로65번길
 충청북도 음성군 삼성면 덕정리,548-27,삼성명지,84.94,1~10,"11,500",6,2008,덕정로65번길
 충청북도 음성군 삼성면 덕정리,548-27,삼성명지,84.94,11~20,"12,000",4,2008,덕정로65번길
 충청북도 음성군 삼성면 덕정리,824,한빛,43.08,1~10,"5,723",11,1997,대성로
 충청북도 음성군 삼성면 덕정리,824,한빛,43.08,11~20,"5,900",3,1997,대성로
 충청북도 음성군 삼성면 덕정리,824,한빛,43.08,11~20,"5,700",2,1997,대성로
 충청북도 음성군 음성읍 신천리,149,금광포란재,59.98,11~20,"10,100",1,2005,반기문로
 충청북도 음성군 음성읍 신천리,149,금광포란재,59.98,21~31,"11,000",15,2005,반기문로
 충청북도 음성군 음성읍 신천리,149,금광포란재,59.98,21~31,"12,000",14,2005,반기문로
 충청북도 음성군 음성읍 신천리,149,금광포란재,84.98,1~10,"13,500",15,2005,반기문로
 충청북도 음성군 음성읍 읍내리,350-1,삼보,59.99,21~31,"7,700",10,1993,시장로
 충청북도 음성군 음성읍 읍내리,350-1,삼보,84.94,21~31,"12,000",13,1993,시장로
 충청북도 음성군 음성읍 읍내리,350-1,삼보,84.94,21~31,"12,000",10,1993,시장로
 충청북도 음성군 음성읍 읍내리,400-21,시티빌아파트,80.22,11~20,"17,800",1,2016,중앙로50번길
 충청북도 음성군 음성읍 읍내리,950,음성지평더웰,77.69,21~31,"21,500",8,2012,설성공원길
 충청북도 음성군 음성읍 읍내리,353-11,태영,118.09,11~20,"13,500",11,2003,시장로63번길
 충청북도 음성군 음성읍 읍내리,250-2,"풍산가,나동",74.13,1~10,"4,600",5,1990,문화3길
 충청북도 음성군 음성읍 읍내리,805,한성진주,39.96,21~31,"4,400",14,1994,설성로
 충청북도 음성군 음성읍 읍내리,805,한성진주,40.56,11~20,"4,700",12,1994,설성로
 충청북도 음성군 음성읍 읍내리,805,한성진주,46.14,1~10,"4,700",9,1994,설성로
 충청북도 음성군 음성읍 읍내리,805,한성진주,46.14,1~10,"4,600",9,1994,설성로
 충청북도 음성군 음성읍 읍내리,805,한성진주,84.95,21~31,"11,500",10,1994,설성로
